dataset,seed,model,rmse,mae,r2,fit_time,truth_triplet,found_truth_triplet,n_terms
elevators,0,Scratch3Way_BIC0.1,0.0020395797296233146,0.0015350959290918475,0.9067207236610069,208.14039206504822,None,,26.0
elevators,0,VanillaEBM,0.0022188876034464505,0.001676219291362833,0.8895986455108167,16.172240018844604,None,,23.0
elevators,0,XGBoost,0.0020571884072046,0.001544055181825671,0.9051031207471115,0.42744994163513184,None,,
elevators,0,RandomForest,0.002851700146054794,0.001985697499246755,0.8176475890105915,2.1683170795440674,None,,
elevators,1,Scratch3Way,0.0020105673499464043,0.0015032751490675167,0.9125083718481714,170.85623979568481,None,,28.0
elevators,1,Scratch3Way_BIC0.1,0.0020081621037105865,0.001501127382721285,0.9127175794979558,210.08618712425232,None,,26.0
elevators,1,VanillaEBM,0.0022951037613772535,0.0016949474747474326,0.8859923755194478,16.154909133911133,None,,23.0
elevators,1,XGBoost,0.002040674804117868,0.001508630500051874,0.9098684474847347,0.4285299777984619,None,,
elevators,1,RandomForest,0.0029718988755649653,0.002032654413980108,0.8088398764850268,2.100241184234619,None,,
elevators,2,Scratch3Way,0.0020014601983006242,0.0014963037358479197,0.9085551238349818,210.13378405570984,None,,28.0
elevators,2,Scratch3Way_BIC0.1,0.0019923890461451092,0.001490543619016878,0.9093821506276545,212.24417996406555,None,,26.0
elevators,2,VanillaEBM,0.002397652033937076,0.0017248572607165484,0.8687685974719481,11.995720863342285,None,,23.0
elevators,2,XGBoost,0.002019903889054593,0.0014947675327245961,0.9068620079393744,0.6667718887329102,None,,
elevators,2,RandomForest,0.0028996214539737672,0.001956929798131961,0.8080676994517202,2.1537790298461914,None,,
house_16H,0,Scratch3Way,0.0012496667221339043,0.0007236524155896953,0.9927620279578249,618.1036250591278,None,,24.0
house_16H,0,Scratch3Way_BIC0.1,0.0013157109599500035,0.0007484226843828182,0.9919767656789121,632.0577018260956,None,,24.0
house_16H,0,VanillaEBM,0.0024661071678791294,0.0016966164025221833,0.9718127710991602,20.39490509033203,None,,19.0
house_16H,0,XGBoost,0.0009507791681459596,0.0006508331748485993,0.9958102529237854,0.48581910133361816,None,,
house_16H,0,RandomForest,0.0011822072667713956,0.0005457767532829438,0.9935223759254593,1.969486951828003,None,,
house_16H,1,Scratch3Way,0.0010224208044014493,0.0006527767518858595,0.9952197560177315,639.8802959918976,None,,24.0
house_16H,1,Scratch3Way_BIC0.1,0.0010235159274156668,0.0006504315266325753,0.9952095102191777,605.3867008686066,None,,24.0
house_16H,1,VanillaEBM,0.002466562366194412,0.001736181963066739,0.9721788607946229,20.958544731140137,None,,19.0
house_16H,1,XGBoost,0.0008730256692197777,0.0006287553518236145,0.9965146633431317,0.5354428291320801,None,,
house_16H,1,RandomForest,0.0009869162801688916,0.0005017546800781656,0.9955459885029346,2.3745782375335693,None,,
house_16H,2,Scratch3Way,0.0010915792774029035,0.0006895569263865166,0.9944731604310532,610.5111491680145,None,,24.0
house_16H,2,Scratch3Way_BIC0.1,0.0011203295681810072,0.000702034972076081,0.9941781918491467,631.1924161911011,None,,24.0
house_16H,2,VanillaEBM,0.002508625781800364,0.0017833966545548953,0.9708097337667754,19.138012886047363,None,,19.0
house_16H,2,XGBoost,0.000941643025431123,0.0006439962846735202,0.9958871877780634,0.517542839050293,None,,
house_16H,2,RandomForest,0.0010855320499293436,0.0005311078513550514,0.9945342269601479,2.1991090774536133,None,,
